ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50292503,A,Araceae,,Monstera,,"coclense",,"","Croat",Unresolved,,L,TRO,50292503,,"","","","",
tro-50287209,A,Araceae,,Monstera,,"coloradense",,"","Croat",Unresolved,,L,TRO,50287209,,"","","","",
kew-129583,A,Araceae,,Monstera,,"coriacea",,"","Engl.",Synonym,,H,WCSP,129583,163918-2,"Bot. Jahrb. Syst.","37: 118","","1905",kew-129571
kew-129584,A,Araceae,,Monstera,,"costaricensis",,"","(Engl. & K.Krause) Croat & Grayum",Accepted,,H,WCSP,129584,281017-2,"Ann. Missouri Bot. Gard.","74: 659","","1987",
tro-50292421,A,Araceae,,Monstera,,"cotobrusense",,"","Croat",Unresolved,,L,TRO,50292421,,"","","","",
kew-129585,A,Araceae,,Monstera,,"crassifolia",,"","Schott",Synonym,,H,WCSP,129585,87475-1,"Oesterr. Bot. Z.","9: 40","","1859",kew-129572
kew-129586,A,Araceae,,Monstera,,"cuspidata",,"","Gardner",Synonym,,H,WCSP,129586,87476-1,"London J. Bot.","1: 540","","1842",kew-151855
kew-129587,A,Araceae,,Monstera,,"decursiva",,"","(Roxb.) Schott",Synonym,,H,WCSP,129587,87477-1,"Wiener Z. Kunst","4: 1028","","1830",kew-177736
kew-129588,A,Araceae,,Monstera,,"deliciosa",,"","Liebm.",Accepted,,H,WCSP,129588,87478-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1: 19","","1849",
kew-335536,A,Araceae,,Monstera,,"deliciosa",var.,"borsigiana","Engl.",Synonym,,L,WCSP,335536,,"Pflanzenr.","IV, 23B: 111","","1908",kew-129588
kew-335537,A,Araceae,,Monstera,,"deliciosa",var.,"sierrana","G.S.Bunting",Synonym,,L,WCSP,335537,,"Gentes Herb.","9: 320","","1965",kew-129588
kew-129589,A,Araceae,,Monstera,,"dilacerata",,"","(K.Koch & Sello) K.Koch",Synonym,,H,WCSP,129589,87479-1,"Index Seminum (B)","1855(App.): 5","","1855",kew-70510
kew-129590,A,Araceae,,Monstera,,"dimidiata",,"","Schott",Synonym,,H,WCSP,129590,87480-1,"Prodr. Syst. Aroid.","372","","1860",kew-129568
kew-129591,A,Araceae,,Monstera,,"dissecta",,"","(Schott) Croat & Grayum",Accepted,,H,WCSP,129591,281018-2,"Ann. Missouri Bot. Gard.","74: 659","","1987",
tro-2106222,A,Araceae,,Monstera,,"dissecta",,"","N.E. Br. ex Donn. Sm.",Unresolved,,L,TRO,2106222,1009779-2,"Enum. Pl. Guatem.","5: 88","88","1899",tro-2106222
tro-2105324,A,Araceae,,Monstera,,"diversifolia",,"","Croat & Grayum",Unresolved,,L,TRO,2105324,,"Nov. Stirp. Pug.","","","",
kew-129592,A,Araceae,,Monstera,,"dubia",,"","(Kunth) Engl. & K.Krause",Accepted,,H,WCSP,129592,163921-2,"Pflanzenr.","IV, 23B: 117","","1908",
tro-50292504,A,Araceae,,Monstera,,"dwyeri",,"","Croat",Unresolved,,L,TRO,50292504,,"","","","",
kew-129593,A,Araceae,,Monstera,,"ecuadorensis",,"","Engl. & K.Krause",Synonym,,H,WCSP,129593,163922-2,"Pflanzenr.","IV, 23B: 107","","1908",kew-129572
kew-129594,A,Araceae,,Monstera,,"egregia",,"","Schott",Synonym,,H,WCSP,129594,87483-1,"J. Bot.","2: 53","","1864",kew-129620
kew-129595,A,Araceae,,Monstera,,"epipremnoides",,"","Engl.",Accepted,,H,WCSP,129595,163923-2,"Bot. Jahrb. Syst.","37: 118","","1905",
